COUNTRY_NAME,COUNTRY_CODE_FIPS,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN_FLAG,HCN_CRN_FLAG,WMO_ID
United Arab Emirates,AE,AE000041196,25.333,55.517,34.0,,SHARJAH INTER. AIRP,GSN,,41196.0
Afghanistan,AF,AF000040930,35.317,69.017,3366.0,,NORTH-SALANG,GSN,,40930.0
Algeria,AG,AG000060390,36.7167,3.25,24.0,,ALGER-DAR EL BEIDA,GSN,,60390.0
Algeria,AG,AG000060590,30.5667,2.8667,397.0,,EL-GOLEA,GSN,,60590.0
Algeria,AG,AG000060611,28.05,9.6331,561.0,,IN-AMENAS,GSN,,60611.0
Algeria,AG,AG000060680,22.8,5.4331,1362.0,,TAMANRASSET,GSN,,60680.0
Azerbaijan,AJ,AJ000037989,38.5,48.9,-22.0,,ASTARA,GSN,,37989.0
Albania,AL,ALM00013615,41.415,19.721,38.4,,TIRANA RINAS,GSN,,13615.0
Armenia,AM,AM000037781,40.5,44.2,3223.0,,ARAGAC VISOKOGORNAYA,GSN,,37781.0
Angola,AO,AO000066160,-8.85,13.233,74.0,,LUANDA,GSN,,66160.0
Angola,AO,AO000066270,-11.417,15.117,1304.0,,WAKU KUNGU (CELA),GSN,,66270.0
Angola,AO,AO000066390,-14.933,13.567,1761.0,,LUBANGO (SA DA BAND,GSN,,66390.0
Angola,AO,AO000066410,-14.65,17.683,1343.0,,MENONGUE (SERPA PIN,GSN,,66410.0
Angola,AO,AO000066422,-15.2,12.15,45.0,,MOCAMEDES,GSN,,66422.0
Angola,AO,AO000066447,-15.833,20.35,1088.0,,MAVINGA,GSN,,66447.0
American Samoa [United States],AQ,AQW00061705,-14.3306,-170.7136,3.7,AS,PAGO PAGO WSO AP,GSN,,91765.0
Argentina,AR,AR000087007,-22.1,-65.6,3479.0,,LA QUIACA OBSERVATO,GSN,,87007.0
Argentina,AR,AR000087065,-24.167,-62.9,205.0,,RIVADAVIA,GSN,,87065.0
Argentina,AR,AR000087078,-24.7,-60.583,130.0,,LAS LOMITAS,GSN,,87078.0
Argentina,AR,AR000087155,-27.45,-59.05,53.0,,RESISTENCIA AERO,GSN,,87155.0
Argentina,AR,AR000087217,-29.383,-66.817,438.0,,LA RIOJA AERO.,GSN,,87217.0
Argentina,AR,AR000087257,-29.883,-61.95,88.0,,CERES AERO,GSN,,87257.0
Argentina,AR,AR000087270,-29.183,-59.7,53.0,,RECONQUISTA AERO,GSN,,87270.0
Argentina,AR,AR000087344,-31.317,-64.217,489.0,,CORDOBA AERO,GSN,,87344.0
Argentina,AR,AR000087374,-31.783,-60.483,74.0,,PARANA AERO,GSN,,87374.0
Argentina,AR,AR000087418,-32.833,-68.783,704.0,,MENDOZA AERO,GSN,,87418.0
Argentina,AR,AR000087534,-34.133,-63.367,137.0,,LABOULAYE AERO,GSN,,87534.0
Argentina,AR,AR000087623,-36.567,-64.266,192.0,,SANTA ROSA AERO,GSN,,87623.0
Argentina,AR,AR000087692,-37.933,-57.583,22.0,,MAR DEL PLATA AERO,GSN,,87692.0
Argentina,AR,AR000087715,-38.95,-68.133,273.0,,NEUQUEN AERO,GSN,,87715.0
Argentina,AR,AR000087803,-42.933,-71.15,799.0,,ESQUEL AERO,GSN,,87803.0
Argentina,AR,AR000087828,-43.2,-65.266,43.0,,TRELEW AERO,GSN,,87828.0
Argentina,AR,AR000087860,-45.783,-67.5,58.0,,COMODORO RIVADAVIA,GSN,,87860.0
Argentina,AR,AR000087925,-51.617,-69.283,19.0,,RIO GALLEGOS AERO,GSN,,87925.0
Argentina,AR,AR000870470,-24.85,-65.483,1246.0,,SALTA AERO,GSN,,87047.0
Argentina,AR,AR000873050,-30.25,-68.75,1175.0,,JACHAL,GSN,,87305.0
Argentina,AR,AR000875440,-35.867,-61.9,85.0,,PEHUAJO AERO,GSN,,87544.0
Argentina,AR,AR000877500,-38.733,-62.167,75.0,,BAHIA BLANCA AERO,GSN,,87750.0
Argentina,AR,ARM00087178,-27.386,-55.971,131.1,,POSADAS,GSN,,87178.0
Argentina,AR,ARM00087289,-29.689,-57.152,70.1,,PASO DE LOS LIBRES,GSN,,87289.0
Argentina,AR,ARM00087497,-33.01,-58.613,22.9,,GUALEGUAYCHU,GSN,,87497.0
Argentina,AR,ARM00087506,-35.494,-69.574,1430.1,,MALARGUE,GSN,,87506.0
Argentina,AR,ARM00087593,-34.972,-57.895,21.9,,LA PLATA,GSN,,87593.0
Australia,AS,ASM00094299,-16.288,149.965,9.0,,WILLIS ISLAND,GSN,,94299.0
Australia,AS,ASM00094995,-31.542,159.079,7.0,,LORD HOWE ISLAND AERO,GSN,,94995.0
Australia,AS,ASM00094998,-54.499,158.937,8.3,,MACQUARIE ISLAND,GSN,,94998.0
Australia,AS,ASN00001019,-14.2964,126.6453,23.0,,KALUMBURU,GSN,,94100.0
Australia,AS,ASN00002012,-18.2292,127.6636,422.0,,HALLS CREEK AIRPORT,GSN,,94212.0
Australia,AS,ASN00003003,-17.9475,122.2353,7.4,,BROOME AIRPORT,GSN,,94203.0
Australia,AS,ASN00004032,-20.3725,118.6317,6.4,,PORT HEDLAND AIRPORT,GSN,,94312.0
Australia,AS,ASN00005007,-22.2406,114.0967,5.0,,LEARMONTH AIRPORT,GSN,,94302.0
Australia,AS,ASN00006011,-24.8878,113.67,4.0,,CARNARVON AIRPORT,GSN,,94300.0
Australia,AS,ASN00007045,-26.6136,118.5372,517.0,,MEEKATHARRA AIRPORT,GSN,,94430.0
Australia,AS,ASN00007176,-23.4169,119.7989,524.0,,NEWMAN AERO,GSN,,94317.0
Australia,AS,ASN00008051,-28.7953,114.6975,33.0,,GERALDTON AIRPORT,GSN,,94403.0
Australia,AS,ASN00009518,-34.3728,115.1358,13.0,,CAPE LEEUWIN,GSN,,94601.0
Australia,AS,ASN00009741,-34.9414,117.8022,68.0,,ALBANY AIRPORT,GSN,,94802.0
Australia,AS,ASN00009789,-33.83,121.8925,25.0,,ESPERANCE,GSN,,94638.0
Australia,AS,ASN00010286,-31.6219,117.2217,216.7,,CUNDERDIN AIRFIELD,GSN,,95625.0
Australia,AS,ASN00011052,-30.8453,128.1092,159.0,,FORREST,GSN,,95646.0
Australia,AS,ASN00012038,-30.7847,121.4533,365.3,,KALGOORLIE-BOULDER AIRPORT,GSN,,94637.0
Australia,AS,ASN00013017,-25.0341,128.301,598.0,,GILES METEOROLOGICAL OFFICE,GSN,,94461.0
Australia,AS,ASN00014015,-12.4239,130.8925,30.4,,DARWIN AIRPORT,GSN,,94120.0
Australia,AS,ASN00014508,-12.2741,136.8203,51.6,,GOVE AIRPORT,GSN,,94150.0
Australia,AS,ASN00014932,-14.5229,132.3826,133.6,,TINDAL RAAF,GSN,,94131.0
Australia,AS,ASN00015135,-19.6423,134.1833,375.7,,TENNANT CREEK AIRPORT,GSN,,94238.0
Australia,AS,ASN00015548,-20.1883,130.0161,340.0,,RABBIT FLAT,GSN,,95322.0
Australia,AS,ASN00015590,-23.7951,133.889,546.0,,ALICE SPRINGS AIRPORT,GSN,,94326.0
Australia,AS,ASN00017031,-29.6481,138.0637,50.0,,MARREE COMPARISON,GSN,,94480.0
Australia,AS,ASN00017043,-27.5553,135.4456,116.5,,OODNADATTA AIRPORT,GSN,,94476.0
Australia,AS,ASN00018011,-32.1267,133.6725,10.0,,CEDUNA POST OFFICE,GSN,,94653.0
Australia,AS,ASN00021133,-33.7676,138.2182,109.1,,SNOWTOWN (RAYVILLE PARK),GSN,,95670.0
Australia,AS,ASN00022823,-35.7549,136.5959,158.0,,CAPE BORDA,GSN,,95805.0
Australia,AS,ASN00026020,-37.8333,140.7833,65.0,,MOUNT GAMBIER POST OFFICE,GSN,,94821.0
Australia,AS,ASN00027045,-12.6778,141.9208,18.0,,WEIPA AERO,GSN,,94170.0
Australia,AS,ASN00029077,-17.7483,139.5356,5.7,,BURKETOWN AIRPORT,GSN,,94260.0
Australia,AS,ASN00029126,-20.7361,139.4817,381.0,,MOUNT ISA MINE,GSN,,94332.0
Australia,AS,ASN00030045,-20.7289,143.1425,211.1,,RICHMOND POST OFFICE,GSN,,94340.0
Australia,AS,ASN00030124,-18.3039,143.5306,301.8,,GEORGETOWN AIRPORT,GSN,,94274.0
Australia,AS,ASN00031010,-16.9333,145.7833,2.0,,CAIRNS POST OFFICE,GSN,,94287.0
Australia,AS,ASN00033119,-21.1172,149.2169,30.3,,MACKAY M.O,GSN,,94367.0
Australia,AS,ASN00036031,-23.4372,144.2769,192.2,,LONGREACH AERO,GSN,,94346.0
Australia,AS,ASN00038026,-25.8975,139.3472,46.6,,BIRDSVILLE AIRPORT,GSN,,95482.0
Australia,AS,ASN00039123,-23.8553,151.2628,74.5,,GLADSTONE RADAR,GSN,,94380.0
Australia,AS,ASN00040908,-26.3911,153.0403,6.4,,TEWANTIN RSL PARK,GSN,,94570.0
Australia,AS,ASN00043109,-28.0489,148.5942,198.5,,ST GEORGE AIRPORT,GSN,,94517.0
Australia,AS,ASN00044021,-26.4139,146.2558,301.6,,CHARLEVILLE AERO,GSN,,94510.0
Australia,AS,ASN00045025,-27.9867,143.815,130.9,,THARGOMINDAH AIRPORT,GSN,,95492.0
Australia,AS,ASN00046037,-29.4345,142.0098,183.0,,TIBOOBURRA POST OFFICE,GSN,,94485.0
Australia,AS,ASN00047007,-31.9759,141.4676,315.0,,BROKEN HILL (PATTON STREET),GSN,,94689.0
Australia,AS,ASN00048027,-31.484,145.8294,260.0,,COBAR MO,GSN,,94711.0
Australia,AS,ASN00056242,-29.7796,151.1121,582.0,,INVERELL (RAGLAN ST),GSN,,95541.0
Australia,AS,ASN00058012,-29.4333,153.3633,27.4,,YAMBA PILOT STATION,GSN,,94589.0
Australia,AS,ASN00060141,-31.8896,152.512,8.0,,TAREE AIRPORT AWS,GSN,,95784.0
Australia,AS,ASN00065070,-32.2206,148.5753,284.0,,DUBBO AIRPORT AWS,GSN,,95719.0
Australia,AS,ASN00067033,-33.6022,150.7794,19.0,,RICHMOND RAAF,GSN,,95753.0
Australia,AS,ASN00069018,-35.9093,150.1532,17.0,,MORUYA HEADS PILOT STATION,GSN,,94937.0
Australia,AS,ASN00072091,-35.9383,148.3842,1475.0,,CABRAMURRA SMHEA,GSN,,95916.0
Australia,AS,ASN00072150,-35.1583,147.4573,212.0,,WAGGA WAGGA AMO,GSN,,94910.0
Australia,AS,ASN00074258,-35.5575,144.9458,94.0,,DENILIQUIN AIRPORT AWS,GSN,,95869.0
Australia,AS,ASN00076031,-34.2358,142.0867,50.0,,MILDURA AIRPORT,GSN,,94693.0
Australia,AS,ASN00085072,-38.1156,147.1322,4.6,,EAST SALE AIRPORT,GSN,,94907.0
Australia,AS,ASN00090015,-38.8556,143.5128,82.0,,CAPE OTWAY LIGHTHOUSE,GSN,,94842.0
Australia,AS,ASN00091293,-41.0556,146.7856,3.0,,LOW HEAD,GSN,,95964.0
Australia,AS,ASN00094010,-43.4892,147.1453,55.0,,CAPE BRUNY LIGHTHOUSE,GSN,,94967.0
Austria,AU,AU000005010,48.05,14.1331,383.0,,KREMSMUENSTER,GSN,,11012.0
Austria,AU,AU000005901,48.2331,16.35,199.0,,WIEN,GSN,,11035.0
Austria,AU,AU000015410,47.05,12.95,3106.0,,SONNBLICK,GSN,,11146.0
Antarctica,AY,AYM00088963,-63.4,-56.983,24.0,,BASE ESPERANZA,GSN,,88963.0
Antarctica,AY,AYM00088968,-60.733,-44.733,8.0,,BASE ORCADAS,GSN,,88968.0
Antarctica,AY,AYM00089002,-70.667,-8.25,50.0,,NEUMAYER,GSN,,89002.0
Antarctica,AY,AYM00089004,-71.7,-2.8,817.0,,S.A.N.A.E. AWS,GSN,,89004.0
Antarctica,AY,AYM00089022,-75.45,-26.217,30.0,,HALLEY,GSN,,89022.0
Antarctica,AY,AYM00089050,-62.183,-58.883,14.0,,BELLINGSHAUSEN AWS,GSN,,89050.0
Antarctica,AY,AYM00089055,-64.233,-56.717,198.0,,BASE MARAMBIO,GSN,,89055.0
Antarctica,AY,AYM00089056,-62.183,-58.983,48.0,,CENTRO MET. ANTARTICO PDTE. E,GSN,,89056.0
Antarctica,AY,AYM00089062,-67.567,-68.117,33.0,,ROTHERA,GSN,,89062.0
Antarctica,AY,AYM00089063,-65.25,-64.267,11.0,,VERNADSKY,GSN,,89063.0
Antarctica,AY,AYM00089065,-71.317,-68.283,69.0,,FOSSIL BLUFF,GSN,,89065.0
Antarctica,AY,AYM00089262,-67.017,-61.467,45.0,,UNIV. WI ID 8926 (LARSEN ICE,GSN,,89262.0
Antarctica,AY,AYM00089266,-72.2,-60.167,115.0,,UNIV. WI ID 8902 (BUTLER ISLA,GSN,,89266.0
Antarctica,AY,AYM00089272,-74.8,-71.483,1589.0,,UNIV. WI ID 8917 (SKI-BLU),GSN,,89272.0
Antarctica,AY,AYM00089324,-80.0,-119.4,1530.0,,BYRD STATION,GSN,,89324.0
Antarctica,AY,AYM00089327,-73.2,-127.05,230.0,,MOUNT SIPLE,GSN,,89327.0
Antarctica,AY,AYM00089329,-83.0,-121.383,945.0,,HARRY,GSN,,89329.0
Antarctica,AY,AYM00089345,-81.65,-148.783,620.0,,SIPLE DOME,GSN,,89345.0
Antarctica,AY,AYM00089376,-79.983,-178.6,55.0,,GILL,GSN,,89376.0
Antarctica,AY,AYM00089377,-82.517,-174.45,55.0,,LETTAU,GSN,,89377.0
Antarctica,AY,AYM00089512,-70.767,11.833,119.0,,NOVOLAZAREVSKAJA,GSN,,89512.0
Antarctica,AY,AYM00089532,-69.0,39.583,21.0,,SYOWA,GSN,,89532.0
Antarctica,AY,AYM00089564,-67.6,62.867,16.0,,MAWSON,GSN,,89564.0
Antarctica,AY,AYM00089571,-68.583,77.95,13.0,,DAVIS,GSN,,89571.0
Antarctica,AY,AYM00089573,-69.367,76.367,18.0,,ZHONGSHAN,GSN,,89573.0
Antarctica,AY,AYM00089574,-69.383,76.383,64.0,,PROGRESS,GSN,,89574.0
Antarctica,AY,AYM00089577,-80.37,77.37,4084.0,,DOME PLATEAU DOME A,GSN,,89577.0
Antarctica,AY,AYM00089592,-66.55,93.017,40.0,,MIRNYJ,GSN,,89592.0
Antarctica,AY,AYM00089606,-78.45,106.867,3488.0,,VOSTOK,GSN,,89606.0
Antarctica,AY,AYM00089611,-66.283,110.517,41.0,,CASEY,GSN,,89611.0
Antarctica,AY,AYM00089625,-75.1,123.4,3233.0,,CONCORDIA,GSN,,89625.0
Antarctica,AY,AYM00089642,-66.667,140.017,43.0,,DUMONT D'URVILLE,GSN,,89642.0
Antarctica,AY,AYM00089662,-74.7,164.1,92.0,,BASE BAIA TERRA NOVA,GSN,,89662.0
Antarctica,AY,AYM00089664,-77.8833,166.7333,24.1,,MCMURDO SOUND NAF,GSN,,89664.0
Antarctica,AY,AYM00089744,-74.017,43.05,3353.0,,RELAY STAT,GSN,,89744.0
Antarctica,AY,AYM00089828,-75.117,123.367,3250.0,,DOME C II,GSN,,89828.0
Antarctica,AY,AYM00089865,-76.133,168.383,274.0,,WHITLOCK,GSN,,89865.0
Antarctica,AY,AYM00089869,-79.95,165.117,75.0,,MARILYN,GSN,,89869.0
Antarctica,AY,AYM00089872,-77.9,170.817,45.0,,FERRELL,GSN,,89872.0
Antarctica,AY,AYM00089879,-71.883,171.2,30.0,,POSSESSION IS,GSN,,89879.0
Antarctica,AY,AYW00087602,-77.4167,163.6833,48.2,,MARBLE POINT,GSN,,89866.0
Antarctica,AY,AYW00090001,-90.0,0.0,-999.9,,AMUNDSEN-SCOTT,GSN,,89009.0
Bahrain,BA,BA000041150,26.267,50.65,2.0,,BAHRAIN (INT. AIRPO,GSN,,41150.0
Barbados,BB,BB000078954,13.067,-59.483,52.0,,GRANTLEY ADAMS,GSN,,78954.0
Botswana,BC,BC000068032,-19.983,23.417,943.0,,MAUN,GSN,,68032.0
Bermuda [United Kingdom],BD,BDM00078016,32.3667,-64.6833,6.1,,L F WADE INTL AP KINDLEY FLD,GSN,,78016.0
Belgium,BE,BE000006447,50.8,4.35,104.0,,UCCLE,GSN,,6447.0
"Bahamas, The",BF,BF000078073,25.05,-77.467,5.0,,NASSAU AIRPORT NEW,GSN,,78073.0
Bosnia and Herzegovina,BK,BKM00014652,44.0667,18.2667,2067.0,,BJELASNICA,GSN,,14652.0
Bolivia,BL,BL000085041,-11.03,-68.78,-999.9,,COBIJA,GSN,,85041.0
Bolivia,BL,BL000085043,-11.0,-66.117,141.0,,RIBERALTA,GSN,,85043.0
Bolivia,BL,BL000085114,-13.333,-64.117,140.0,,MAGDALENA,GSN,,85114.0
Bolivia,BL,BL000085141,-14.47,-67.57,-999.9,,RURRENABAQUE,GSN,,85141.0
Bolivia,BL,BL000085223,-17.42,-66.18,-999.9,,COCHABAMBA,GSN,,85223.0
Bolivia,BL,BL000085230,-17.58,-69.6,-999.9,,CHARANA,GSN,,85230.0
Bolivia,BL,BL000085364,-21.55,-64.7,1854.0,,TARIJA,GSN,,85364.0
Bolivia,BL,BL000085365,-21.95,-63.65,-999.9,,YACUIBA,GSN,,85365.0
Bolivia,BL,BLM00085207,-16.367,-60.95,413.0,,SAN IGNACIO VELASCO,GSN,,85207.0
Bolivia,BL,BLM00085289,-18.975,-57.821,133.8,,TTE DE AV SALVADOR OGAYA G,GSN,,85289.0
Burma,BM,BMM00048042,21.983,96.1,76.0,,MANDALAY,GSN,,48042.0
Burma,BM,BMM00048062,20.133,92.873,8.2,,SITTWE,GSN,,48062.0
Burma,BM,BMM00048097,16.907,96.133,33.2,,YANGON INTL,GSN,,48097.0
Benin,BN,BN000065306,11.133,2.933,292.0,,KANDI,GSN,,65306.0
Benin,BN,BN000065335,8.032,2.467,200.0,,SAVE,GSN,,65335.0
Belarus,BO,BOM00033038,52.25,29.8331,142.0,,VASILEVICI,GSN,,33038.0
Solomon Islands,BP,BP000091503,-8.333,157.267,3.0,,MUNDA,GSN,,91503.0
Solomon Islands,BP,BPW00080601,-9.4333,160.05,10.1,,GUADALCANAL AAF,GSN,,91520.0
Brazil,BR,BR000082704,-7.633,-72.667,194.0,,CRUZEIRO DO SUL,GSN,,82704.0
Brazil,BR,BR000083361,-15.55,-56.117,151.0,,CUIABA,GSN,,83361.0
Brazil,BR,BR001746006,-17.66,-46.35,0.0,,PONTE DA BR-040 - PRATA,GSN,,83481.0
Brazil,BR,BR002549075,-25.417,-49.267,932.0,,CURITIBA,GSN,,83842.0
Brazil,BR,BR00E3-0070,-23.5,-46.617,792.0,,SAO PAULO,GSN,,83781.0
Brazil,BR,BR036190520,-5.5,-45.267,153.0,,BARRA DO CORDA,GSN,,82571.0
Brazil,BR,BR038014410,-5.2,-39.3,212.0,,QUIXERAMOBIM,GSN,,82586.0
Brazil,BR,BR047403040,-12.15,-45.0,439.0,,BARREIRAS,GSN,,83236.0
Brazil,BR,BR048620980,-13.017,-38.517,51.0,,SALVADOR,GSN,,83229.0
Brazil,BR,BR058514530,-17.733,-39.25,3.0,,CARAVELAS,GSN,,83498.0
Brazil,BR,BRM00082024,2.817,-60.65,90.0,,BOA VISTA,GSN,,82024.0
Brazil,BR,BRM00082106,-0.133,-67.083,90.0,,SAO GABRIEL DA CACH,GSN,,82106.0
Brazil,BR,BRM00082113,-0.981,-62.92,34.1,,BARCELOS,GSN,,82113.0
Brazil,BR,BRM00082331,-3.133,-60.017,72.0,,MANAUS,GSN,,82331.0
Brazil,BR,BRM00082410,-4.383,-70.033,65.0,,BENJAMIN CONSTANT,GSN,,82410.0
Brazil,BR,BRM00082425,-4.083,-63.133,46.0,,COARI,GSN,,82425.0
Brazil,BR,BRM00083064,-10.717,-48.583,239.0,,PORTO NACIONAL,GSN,,83064.0
Brazil,BR,BRM00083264,-12.2,-56.5,415.0,,GLEBA CELESTE,GSN,,83264.0
Burundi,BY,BY000064397,-2.833,30.333,1755.0,,MUYINGA,GSN,,64397.0
Canada,CA,CA001026270,50.6833,-127.3667,22.0,BC,PORT HARDY A,GSN,,71109.0
Canada,CA,CA001032731,49.3833,-126.55,7.0,BC,ESTEVAN POINT CS,GSN,,71894.0
Canada,CA,CA001096631,53.0333,-122.5,545.0,BC,QUESNEL AIRPORT AUTO,GSN,,71779.0
Canada,CA,CA001163842,50.7,-120.45,345.0,BC,KAMLOOPS AUT,GSN,,71741.0
Canada,CA,CA001192940,58.8333,-122.6,382.0,BC,FORT NELSON A,GSN,,71945.0
Canada,CA,CA00119BLM0,58.4333,-130.0333,802.0,BC,DEASE LAKE (AUT),GSN,,71222.0
Canada,CA,CA002100402,64.05,-139.1333,370.0,YT,DAWSON A,GSN,,71966.0
Canada,CA,CA002100693,63.25,-130.0333,1379.0,YT,MACMILLAN PASS,GSN,,71990.0
Canada,CA,CA002101204,60.1167,-128.8167,690.0,YT,WATSON LAKE (AUT),GSN,,71199.0
Canada,CA,CA002101310,60.7333,-135.1,707.0,YT,WHITEHORSE AUTO,GSN,,71773.0
Canada,CA,CA002201903,62.7167,-109.1667,168.0,NT,FORT RELIANCE (AUT),GSN,,71160.0
Canada,CA,CA002202102,61.7667,-121.2333,168.0,NT,FORT SIMPSON CLIMATE,GSN,,71365.0
Canada,CA,CA002202202,60.0333,-111.9333,203.0,NT,FORT SMITH CLIMATE,GSN,,71362.0
Canada,CA,CA002202402,60.8333,-115.7833,164.0,NT,HAY RIVER CLIMATE,GSN,,71361.0
Canada,CA,CA002202578,68.3167,-133.5167,103.0,NT,INUVIK CLIMATE,GSN,,71364.0
Canada,CA,CA002202810,65.2833,-126.75,94.0,NT,NORMAN WELLS CLIMATE,GSN,,71480.0
Canada,CA,CA002203058,69.35,-124.0833,6.0,NT,PAULATUK,GSN,,71984.0
Canada,CA,CA002300501,64.3167,-96.0,51.0,NU,BAKER LAKE CLIMATE,GSN,,71356.0
Canada,CA,CA002300904,67.8167,-115.1333,23.0,NU,KUGLUKTUK CLIMATE,GSN,,71332.0
Canada,CA,CA002301000,64.2,-83.3667,62.0,NU,CORAL HARBOUR A,GSN,,71915.0
Canada,CA,CA002301102,61.1333,-100.8833,353.0,NU,ENNADAI LAKE (AUT),GSN,,71923.0
Canada,CA,CA002301153,61.1,-94.0667,10.0,NU,ARVIAT CLIMATE,GSN,,71322.0
Canada,CA,CA002302340,68.6333,-95.85,42.0,NU,GJOA HAVEN CLIMATE,GSN,,71363.0
Canada,CA,CA002303094,68.5333,-89.8,16.0,NU,KUGAARUK CLIMATE,GSN,,71407.0
Canada,CA,CA002303610,65.1,-102.4333,244.0,NU,ROBERTSON LAKE (AUT),GSN,,71490.0
Canada,CA,CA002400305,82.5,-62.3333,65.0,NU,ALERT CLIMATE,GSN,,71355.0
Canada,CA,CA002400404,73.0,-85.0167,10.0,NU,ARCTIC BAY CS,GSN,,71592.0
Canada,CA,CA002400573,67.55,-64.0333,6.0,NU,QIKIQTARJUAQ CLIMATE,GSN,,71357.0
Canada,CA,CA002400602,69.1,-105.1333,19.0,NU,CAMBRIDGE BAY GSN,GSN,,71288.0
Canada,CA,CA002400636,64.2333,-76.5333,50.0,NU,CAPE DORSET CLIMATE,GSN,,71575.0
Canada,CA,CA002400802,70.4833,-68.5167,27.0,NU,CLYDE RIVER CLIMATE,GSN,,71358.0
Canada,CA,CA002401200,79.9833,-85.9333,10.0,NU,EUREKA,GSN,,71917.0
Canada,CA,CA002402353,68.7833,-81.25,8.0,NU,HALL BEACH CLIMATE,GSN,,71320.0
Canada,CA,CA002402592,63.75,-68.55,34.0,NU,IQALUIT CLIMATE,GSN,,71321.0
Canada,CA,CA002402604,78.8,-103.55,58.0,NU,ISACHSEN (AUT),GSN,,71074.0
Canada,CA,CA002403049,66.15,-65.7167,23.0,NU,PANGNIRTUNG,GSN,,71826.0
Canada,CA,CA002403204,72.7,-77.95,65.0,NU,POND INLET CLIMATE,GSN,,71576.0
Canada,CA,CA002403505,74.7167,-94.9833,30.0,NU,RESOLUTE CS,GSN,,71018.0
Canada,CA,CA002403756,73.7667,-105.3,11.0,NU,STEFANSSON ISLAND,GSN,,71017.0
Canada,CA,CA002403945,65.8833,-89.45,18.0,NU,WAGER BAY (AUT),GSN,,71049.0
Canada,CA,CA002502505,70.7667,-117.8,30.0,NT,HOLMAN CS,GSN,,71029.0
Canada,CA,CA002503648,72.0,-125.25,88.0,NT,SACHS HARBOUR CLIMATE,GSN,,71467.0
